name,translated name,priority,type,subtype,operator,lat,lon,Links
ПАТ НВО «Київський завод автоматики»,"PJSC NPO ""Kyiv Automation Plant""",Operational,None,amenity=None,,50.45330058,30.47599985,
ТП-2744,TP-2744,Operational,None,amenity=None,,50.38194616,30.48256444,
ТП-5442,TP-5442,Operational,None,amenity=None,,50.49420016,30.42254978,
РП-402,RP-402,Operational,None,amenity=None,,50.38672362,30.46084196,
ТП-48,TP-48,Operational,None,amenity=None,,50.46218362,30.44216048,
ТП-2883,TP-2883,Operational,None,amenity=None,,50.4595331,30.47846866,
ТП-5757,TP-5757,Operational,None,amenity=None,Київенерго,50.45572074,30.44721084,
Артемівська,Artemivska,Operational,None,amenity=None,Київські електромережі,50.45850014,30.4770386,
"РПЦ ""Рател"" (Подільська радіовежа)","ROC ""Ratel"" (Podilsky radio tower)",Operational,None,amenity=None,,50.46633882,30.50528838,
Котельня,Boiler house,Operational,None,amenity=None,,50.45613004,30.47789154,
Інститут Геофізприлад,Institute of Geophysical Instruments,Operational,research_institute,amenity=research_institute,,50.50708488,30.44730439,
ТП-6030,TP-6030,Operational,None,amenity=None,,50.49285852,30.52530444,
Сарай якута,Yakut barn,Operational,None,amenity=None,,50.45229712,30.359706,
Альянсупак Україна,Alliancepack Ukraine,Operational,None,amenity=None,,50.49838952,30.48082214,
РП-495,RP-495,Operational,None,amenity=None,,50.3869609,30.4641193,
ТП-7825,TP-7825,Operational,None,amenity=None,,50.38910798,30.46453992,
РП-317,RP-317,Operational,None,amenity=None,,50.38564196,30.47411142,
ТП-7638,TP-7638,Operational,None,amenity=None,,50.39237236,30.49148606,
ТП-2214,TP-2214,Operational,None,amenity=None,,50.38826362,30.47655748,
ТП-4090,TP-4090,Operational,None,amenity=None,,50.48256238,30.47135422,
ТП-196,TP-196,Operational,None,amenity=None,Київенерго,50.45215958,30.44939928,
ТП-1677,TP-1677,Operational,None,amenity=None,Київенерго,50.45274103,30.44803439,
ТП-5233,TP-5233,Operational,None,amenity=None,,50.47019888,30.50485898,
ТП-2574,TP-2574,Operational,None,amenity=None,,50.46704064,30.47933138,
ТП-4063,TP-4063,Operational,None,amenity=None,,50.3864534,30.47390698,
РП-87,RP-87,Operational,None,amenity=None,,50.38622296,30.47562016,
ТП-3470,TP-3470,Operational,None,amenity=None,,50.38724122,30.47820608,
ТП-1789,TP-1789,Operational,None,amenity=None,,50.38364762,30.4795997,
ТП-2050,TP-2050,Operational,None,amenity=None,,50.38518594,30.4853929,
Котельня,Boiler house,Operational,None,amenity=None,,50.47401649,30.45682855,
ТП-3084,TP-3084,Operational,None,amenity=None,Київенерго,50.4730313,30.45545212,
ТП-4622,TP-4622,Operational,None,amenity=None,Київенерго,50.47372738,30.45636372,
ТП-1907,TP-1907,Operational,None,amenity=None,,50.47076534,30.45039906,
ТП-5574,TP-5574,Operational,None,amenity=None,,50.4731381,30.4693709,
ТП-3551,TP-3551,Operational,None,amenity=None,Київенерго,50.50146032,30.5067067,
"Районна котельня ""Микільська Борщагівка""","District boiler house ""Mykilska Borshchagovka""",Operational,None,amenity=None,,50.43676094,30.36997114,
Телецентр,Telecenter,Operational,None,amenity=None,Київські електромережі,50.47063128,30.45127372,
ТП-4749,TP-4749,Operational,None,amenity=None,Київенерго,50.44028394,30.3812619,
ТП-114,TP-114,Operational,None,amenity=None,Київенерго,50.4541236,30.454357,
ТП-4193,TP-4193,Operational,None,amenity=None,,50.46142278,30.44828144,
ТР-5597,TR-5597,Operational,None,amenity=None,,50.46110176,30.44822774,
Швидкісне депо ПК УЗ,Fast Depot PC UZ,Operational,None,amenity=None,"АТ ""Укрзалізниця""",50.43574067,30.66569125,
РП-218,RP-218,Operational,None,amenity=None,,50.4505215,30.37605184,
ТП-4572,TP-4572,Operational,None,amenity=None,Київенерго,50.45180922,30.37843664,
ТП-3556,TP-3556,Operational,None,amenity=None,Київенерго,50.50026802,30.51008246,
ТП-3549,TP-3549,Operational,None,amenity=None,Київенерго,50.49813418,30.5156338,
ТП-3555,TP-3555,Operational,None,amenity=None,,50.5003006,30.51363474,
"Завод ""Росинка""",Rosinka Plant,Operational,None,amenity=None,,50.45930595,30.443298,
Завод «ОборонАвтоСервiс»,"Plant ""OboronAvtoService""",Operational,None,amenity=None,,50.41502678,30.68621005,
Колишня в/ч 14119,Former military unit 14119,Operational,None,amenity=None,,50.4162595,30.68835238,
Мостобудівельна компанія МСУ,Bridge Construction Company of the MSU,Operational,None,amenity=None,,50.44454893,30.38428667,
ТП-1294,TP-1294,Operational,None,amenity=None,,50.44963076,30.37398624,
Завод солодових екстрактів (не діє),Malt extract plant (not operating),Operational,None,amenity=None,,50.47020274,30.50093222,
ТП-3270,TP-3270,Operational,None,amenity=None,,50.47238296,30.47230388,
ТП-1150,TP-1150,Operational,None,amenity=None,,50.46270122,30.47474812,
ТП-3420,TP-3420,Operational,None,amenity=None,,50.4582696,30.474538,
ТП-4283,TP-4283,Operational,None,amenity=None,,50.45816394,30.47826932,
Голосіївська,Holosiivska,Operational,None,amenity=None,Київські електромережі,50.38158385,30.48356662,
ТП-5586,TP-5586,Operational,None,amenity=None,,50.45906616,30.47422372,
ТП-4123,TP-4123,Operational,None,amenity=None,,50.46937138,30.4771291,
ТП-1729,TP-1729,Operational,None,amenity=None,,50.4697988,30.48264716,
ТП-1116,TP-1116,Operational,None,amenity=None,,50.464495,30.48063938,
ТП-8076,TP-8076,Operational,None,amenity=None,,50.38609762,30.4651159,
ТП-7824,TP-7824,Operational,None,amenity=None,,50.38793772,30.46571762,
ТП-8070,TP-8070,Operational,None,amenity=None,,50.38700076,30.46700334,
ТП-4001,TP-4001,Operational,None,amenity=None,,50.38268414,30.47093648,
ТП-3998,TP-3998,Operational,None,amenity=None,,50.38234336,30.47125936,
ТП-4371,TP-4371,Operational,None,amenity=None,,50.3834428,30.47015862,
РП-475,RP-475,Operational,None,amenity=None,,50.38529988,30.47016672,
ТП-7806,TP-7806,Operational,None,amenity=None,,50.384943,30.47124284,
ТП-4086,TP-4086,Operational,None,amenity=None,,50.38208274,30.47134119,
ТП-4370,TP-4370,Operational,None,amenity=None,,50.38378512,30.46986896,
ТП-4373,TP-4373,Operational,None,amenity=None,,50.38288988,30.47072084,
ТП-4000,TP-4000,Operational,None,amenity=None,,50.38254542,30.47062052,
ТП-3999,TP-3999,Operational,None,amenity=None,,50.38220885,30.47092592,
ТП-4372,TP-4372,Operational,None,amenity=None,,50.3832358,30.47039852,
Автобаза,Motor depot,Operational,None,amenity=None,,50.46420176,30.44132429,
ТП-884,TP-884,Operational,None,amenity=None,,50.38076714,30.48047028,
ТП-2414,TP-2414,Operational,None,amenity=None,,50.4668904,30.44774548,
ТП - 3941,TP - 3941,Operational,None,amenity=None,,50.49922212,30.4992754,
ТП-3910,TP-3910,Operational,None,amenity=None,Київенерго,50.49920312,30.5020126,
ТП-3909,TP-3909,Operational,None,amenity=None,Київенерго,50.49779598,30.50198438,
РП-38,RP-38,Operational,None,amenity=None,Київенерго,50.50026706,30.50545106,
Штрафмайданчик для МАФ,Penalty area for MAF,Operational,None,amenity=None,,50.49788825,30.48639357,
ТП-1769,TP-1769,Operational,None,amenity=None,Київенерго,50.49838418,30.50656922,
ТП-3108,TP-3108,Operational,None,amenity=None,,50.45242814,30.35586264,
ТП-3575,TP-3575,Operational,None,amenity=None,Київенерго,50.4969264,30.51464768,
ТП-3850,TP-3850,Operational,None,amenity=None,Київенерго,50.49491306,30.51594984,
ТП-3851,TP-3851,Operational,None,amenity=None,Київенерго,50.49434822,30.51831484,
ТП-6024,TP-6024,Operational,None,amenity=None,Київенерго,50.49823934,30.51997648,
ТП-6029,TP-6029,Operational,None,amenity=None,Київенерго,50.4939086,30.52411666,
РП-515,RP-515,Operational,None,amenity=None,Київенерго,50.48987268,30.5269798,
ТП-6524,TP-6524,Operational,None,amenity=None,Київенерго,50.48410376,30.51653412,
Акрилат-Хімконтракт,Acrylat-Khimkontrakt,Operational,None,amenity=None,,50.49659503,30.48761456,
Технічний департамент АК «Київводоканал»,Technical Department of Kyivvodokanal,Operational,None,amenity=None,,50.49596369,30.4884237,
Лук'янівська,Lukyanivska,Operational,None,amenity=None,Київські електромережі,50.47348111,30.45220847,
СВП «Київські теплові мережі»,"SVP ""Kyiv Heating Networks""",Operational,None,amenity=None,,50.46379983,30.52464514,
ТП-523,TP-523,Operational,None,amenity=None,Київенерго,50.49228088,30.5197887,
РП-271,RP-271,Operational,None,amenity=None,,50.4941553,30.47977328,
Каналізаційні люки,Sewer manholes,Operational,None,amenity=None,,50.40058862,30.47056406,
ТП-6713,TP-6713,Operational,None,amenity=None,Київські Електромережі,50.3915083,30.4616596,
ТП-3907,TP-3907,Operational,None,amenity=None,Київенерго,50.4960139,30.50347632,
ТП-7767,TP-7767,Operational,None,amenity=None,,50.39212778,30.4800676,
ТП-6983,TP-6983,Operational,None,amenity=None,Київенерго,50.49191988,30.52608476,
ТП-6982,TP-6982,Operational,None,amenity=None,Київенерго,50.49189968,30.52491562,
ТП-3351,TP-3351,Operational,None,amenity=None,,50.43437478,30.36307784,
Теплова насосна станція,Heat pump station,Operational,None,amenity=None,,50.49150731,30.52519927,
Київська нотна фабрика,Kyiv Music Factory,Operational,None,amenity=None,,50.47297419,30.4947796,
РП-239,RP-239,Operational,None,amenity=None,,50.41838902,30.68031578,
ТП-7471,TP-7471,Operational,None,amenity=None,,50.41829986,30.68045994,
ТП-6971,TP-6971,Operational,None,amenity=None,,50.38495082,30.46251172,
ТП-8487,TP-8487,Operational,None,amenity=None,,50.3849661,30.46683578,
ТП-8290,TP-8290,Operational,None,amenity=None,,50.39037908,30.48077574,
ТП-3821,TP-3821,Operational,None,amenity=None,,50.4875194,30.47427378,
Київполіграфтехніка дослідно-експериментальний завод,Kyivpolygraphtechnika experimental plant,Operational,None,amenity=None,,50.45278633,30.35250312,
ТП-1437,TP-1437,Operational,None,amenity=None,,50.3814688,30.4843376,
ТП-68,TP-68,Operational,None,amenity=None,Київські електромережі,50.39486392,30.50611264,
ТП-8134,TP-8134,Operational,None,amenity=None,,50.40331154,30.5107223,
Водопровідна насосна станція «Смородинська»,"Water pumping station ""Smorodynska""",Operational,None,amenity=None,Київводоконал,50.47330843,30.47510872,
ТП-3661,TP-3661,Operational,None,amenity=None,,50.38440548,30.47463206,
ТП-1862,TP-1862,Operational,None,amenity=None,,50.38343868,30.4812061,
Мостицька,Mostytska,Operational,None,amenity=None,Київські електромережі,50.50163402,30.41991005,
ТП-1896,TP-1896,Operational,None,amenity=None,,50.384625,30.48045044,
ТП-3199,TP-3199,Operational,None,amenity=None,,50.4211976,30.37279552,
ТП-4027,TP-4027,Operational,None,amenity=None,,50.38609378,30.47677776,
"АТ ""Завод молочної кислоти","JSC ""Lactic Acid Plant""",Operational,None,amenity=None,,50.47373484,30.49317452,
ТП-6266,TP-6266,Operational,None,amenity=None,,50.3828096,30.47960662,
ТП-2268,TP-2268,Operational,None,amenity=None,,50.45802314,30.44803542,
Київська телевежа,Kyiv TV Tower,Operational,None,amenity=None,,50.47120326,30.45343799,
ТП-924,TP-924,Operational,None,amenity=None,,50.39519414,30.48530138,
"Руїни корпусів 1980-х років швейної фабрики ""Юність""",Ruins of the 1980s buildings of the Yunist garment factory,Operational,None,amenity=None,,50.46197143,30.51466981,
ТП-3099,TP-3099,Operational,None,amenity=None,,50.38455366,30.47702168,
РП-15,RP-15,Operational,None,amenity=None,,50.40049378,30.51115884,
ГРП,Hydraulics,Operational,None,amenity=None,,50.39311288,30.45917506,
ТП-495,TP-495,Operational,None,amenity=None,,50.45195092,30.46604778,
ТП-3150,TP-3150,Operational,None,amenity=None,,50.45287112,30.467196,
ТП-4946,TP-4946,Operational,None,amenity=None,,50.5072947,30.44499542,
Kuhn,Kuhn,Operational,None,amenity=None,,50.43409983,30.68485396,
ТП-1036,TP-1036,Operational,None,amenity=None,,50.42698908,30.65795266,
ТП-1324,TP-1324,Operational,None,amenity=None,,50.4521504,30.3531876,
Трансформатор,Transformer,Operational,None,amenity=None,,50.46235232,30.47898998,
Татарська,Tatar,Operational,None,amenity=None,Київські електромережі,50.46942448,30.48249982,
Дослідний хлібзавод,Experimental bread factory,Operational,None,amenity=None,,50.45869107,30.44452238,
ТП-1892,TP-1892,Operational,None,amenity=None,Київенерго,50.4696828,30.4459182,
