name,translated name,priority,type,subtype,operator,lat,lon,source
Кінологічний центр МВС в метрополітені,The Ministry of Internal Affairs' dog training center in the metro,Strategic,police,amenity=police,МВС України,50.44610825,30.36390194,
Подільське УП ГУНП,Podilskyi UP Main Police Department,Strategic,police,amenity=police,,50.46696644,30.51718273,
Шевченківське УП ГУНП,Shevchenkovske UP Main Police Department,Strategic,police,amenity=police,,50.46952187,30.47176911,
Відділення міліції Подільського району,Podilskyi district police department,Strategic,police,amenity=police,,50.5128321,30.42810196,
Управління по боротьбі з кіберзлочинністю ГУ МВС України в Київській області,Department for Combating Cybercrime of the Main Directorate of the Ministry of Internal Affairs of Ukraine in the Kyiv region,Strategic,police,amenity=police,,50.471913,30.46324995,
Відділ по обігу зброї,Weapons Trafficking Department,Strategic,police,amenity=police,,50.5033994,30.4290409,
УПО в м. Києві Шевченківського та Подільського РВ,"UPR in Kyiv, Shevchenkivskyi and Podilskyi Autonomous Okrugs",Strategic,police,amenity=police,,50.4695862,30.5140316,
Територіальні сервісні центри МВС 8041,Territorial service centers of the Ministry of Internal Affairs 8041,Strategic,police,amenity=police,,50.4423026,30.3671426,
Державна пожежна частина №7 Подільського району,State Fire Department No. 7 of Podilskyi District,Strategic,fire_station,amenity=fire_station,ДСНС України у м. Києві,50.50779757,30.42478433,
Фармацевтична,Pharmaceutical,Operational,halt,railway=halt,Південно-Західна залізниця,50.4297055,30.6854241,
Куренівка,Kurenivka,Operational,halt,railway=halt,Укрзалізниця,50.4894195,30.4827922,
"ПС Північна - 330 - ПС Ірпінь, ПС Біличі","Pivnichna PS - 330 - Irpin PS, Bilichi PS",Operational,line,power=line,Київобленерго,50.56383608,30.4538707,
ПС Новокиївська-330 - ПС Нивки-330,PS Novokiivska-330 - PS Nivky-330,Operational,line,power=line,Київобленерго,50.43154506,30.368354,
ПС Північна - 330 - ПС Нивки - 330,PS Pivchna - 330 - PS Nivky - 330,Operational,line,power=line,Київобленерго,50.5644365,30.45344077,
ПС Північна - 330 - ПС Нивки - 330,PS Pivchna - 330 - PS Nivky - 330,Operational,line,power=line,Київобленерго,50.49419181,30.41476633,
"ПС Північна - 330 - ПС Ірпінь, ПС Біличі","Pivnichna PS - 330 - Irpin PS, Bilichi PS",Operational,line,power=line,Київобленерго,50.50603405,30.38033934,
Почайна,Pochaina,Operational,platform,railway=platform,,50.486097,30.49788643,
Васильківська,Vasylkivska,Operational,platform,railway=platform,Київський метрополітен,50.39332225,30.48818652,
Палац культури та техніки «Дніпро»,"Palace of Culture and Technology ""Dnipro""",Operational,platform,railway=platform,,50.4286409,30.6681509,
Подільско-Вигурівська лінія,Podilsko-Vygurivska line,Operational,proposed,railway=proposed,,50.47355572,30.53911566,
2-га черга будівництва метро (СПЛ) на ж/м Виноградар,2nd stage of metro construction (SPL) at Vynohradar railway station,Operational,proposed,railway=proposed,,50.50130895,30.41771462,
Подільско-Вигурівська лінія,Podilsko-Vygurivska line,Operational,proposed,railway=proposed,,50.47576215,30.51104715,
Водопровідна насосна станція «Крутогірна»,"Water pumping station ""Krutohirna""",Operational,pumping_station,man_made=pumping_station,,50.40679484,30.48616927,
КНС «Оболонська»,Obolonska Central Emergency Station,Operational,pumping_station,man_made=pumping_station,Київводоканал,50.48610111,30.49890857,
Електротупик,Electric dead end,Operational,rail,railway=rail,,50.48441746,30.50282029,
Почайна,Pochaina,Operational,station,railway=station,Укрзалізниця,50.4848895,30.4982399,
Васильківська,Vasylkivska,Operational,station,railway=station,Київський метрополітен,50.3933354,30.488223,
Почайна,Pochaina,Operational,station,railway=station,Київський метрополітен,50.4861951,30.4978905,
"Куренівка, I колія","Kurenivka, track I",Operational,stop,railway=stop,,50.4903178,30.4815973,
Куренівка,Kurenivka,Operational,stop,railway=stop,Південно-Західна залізниця,50.4890271,30.4834025,
Почайна,Pochaina,Operational,stop,railway=stop,Київський метрополітен,50.4860911,30.4977637,
Васильківська,Vasylkivska,Operational,stop,railway=stop,,50.3933846,30.4881744,
"Почайна, 3 колія","Pochayna, 3 tracks",Operational,stop,railway=stop,,50.4847985,30.5002809,
Почайна,Pochaina,Operational,subway_entrance,railway=subway_entrance,КП «Київський метрополітен»,50.4854387,30.498395,
Васильківська,Vasylkivska,Operational,subway_entrance,railway=subway_entrance,КП «Київський метрополітен»,50.3936405,30.4889183,
Почайна,Pochaina,Operational,subway_entrance,railway=subway_entrance,КП «Київський метрополітен»,50.4867312,30.4975225,
Лікарня,Hospital,Operational,tram_stop,railway=tram_stop,,50.4630962,30.4548215,
Олени Теліги,Olena Teliga,Operational,tram_stop,railway=tram_stop,,50.4630192,30.4515685,
Зоологічна,Zoological,Operational,tram_stop,railway=tram_stop,,50.462596,30.4656266,
Комбінат «Україна»,"Combine ""Ukraine""",Operational,tram_stop,railway=tram_stop,,50.4631078,30.4604248,
Вікентія Хвойки,Vikentia Khvoyka,Operational,tram_stop,railway=tram_stop,,50.4801999,30.4796928,
Палац культури та техніки «Дніпро»,"Palace of Culture and Technology ""Dnipro""",Operational,tram_stop,railway=tram_stop,Київпастранс,50.4285387,30.6684076,
пров. Надії Світличної,Nadiya Svitlichna Lane,Operational,tram_stop,railway=tram_stop,,50.4272932,30.6754704,
Вулиця Академіка Горбунова,Academician Gorbunov Street,Operational,tram_stop,railway=tram_stop,Київпастранс,50.426576,30.6794635,
Містечко,Small town,Operational,tram_stop,railway=tram_stop,,50.4251729,30.6873964,
Фармацевтична фірма «Дарниця»,"Pharmaceutical company ""Darnitsa""",Operational,tram_stop,railway=tram_stop,Київпастранс,50.4258575,30.6835159,
Містечко,Small town,Operational,tram_stop,railway=tram_stop,,50.4251704,30.6876096,
Палац культури та техніки «Дніпро»,"Palace of Culture and Technology ""Dnipro""",Operational,tram_stop,railway=tram_stop,Київпастранс,50.4286671,30.6678609,
Фармацевтична фірма «Дарниця»,"Pharmaceutical company ""Darnitsa""",Operational,tram_stop,railway=tram_stop,Київпастранс,50.4258351,30.6838465,
Вулиця Академіка Горбунова,Academician Gorbunov Street,Operational,tram_stop,railway=tram_stop,Київпастранс,50.4264722,30.6802597,
вул. Ярославська,Yaroslavska Street,Operational,tram_stop,railway=tram_stop,,50.4684306,30.5130111,
"Насосна водопровідна станція ""Виноградар-3""","Water pumping station ""Vinogradar-3""",Operational,water_works,man_made=water_works,"ПАТ АК ""Київводоканал""",50.51032031,30.42424374,
Завод «Мікрони»,Micron Factory,Operational,works,man_made=works,,50.48858945,30.49448823,
Автобусний парк №8,Bus fleet No. 8,Background,industrial,landuse=industrial,Київпастранс,50.4655903,30.4588124,
Роза-Хутро,Rosa-Fur,Background,industrial,landuse=industrial,,50.44216543,30.36304737,
Територія колишнього святошинського молочного заводу,The territory of the former Svyatoshyn dairy plant,Background,industrial,landuse=industrial,,50.44946599,30.36666767,
Дарницький мʼясокомбінат,Darnytsia Meat Processing Plant,Background,industrial,landuse=industrial,,50.43469971,30.67851521,
"Завод ""Протекон""","""Protekon"" plant",Background,industrial,landuse=industrial,,50.48298634,30.49413756,
Плитторг Сервіс,Plittorg Service,Background,industrial,landuse=industrial,,50.48371964,30.49424543,
"АТ ""Спецмеблі""","JSC ""Special Furniture""",Background,industrial,landuse=industrial,,50.48385664,30.49081587,
"Київський завод комунального машинобудування ""Коммаш""","Kyiv Municipal Engineering Plant ""Kommash""",Background,industrial,landuse=industrial,,50.39518783,30.49132716,
Фармацевтична фірма «Дарниця»,"Pharmaceutical company ""Darnitsa""",Background,industrial,landuse=industrial,,50.42803108,30.68297509,
Хлібокомбінат №11,Bakery No. 11,Background,industrial,landuse=industrial,,50.42629648,30.67503244,
Дарницький завод залізобетонних конструкцій,Darnytsia Plant of Reinforced Concrete Structures,Background,industrial,landuse=industrial,,50.42879064,30.67872718,
Колишній автобусний парк № 1,Former bus park No. 1,Background,industrial,landuse=industrial,,50.39592532,30.49550638,
Автомобільний цех заводу «Маяк»,Automotive workshop of the Mayak plant,Background,industrial,landuse=industrial,,50.48629673,30.50653941,
Тролейбусне депо №1,Trolleybus depot No. 1,Background,industrial,landuse=industrial,,50.39410492,30.46716593,
Київмлин,Kyivmlyn,Background,industrial,landuse=industrial,,50.47079431,30.52292678,
Київський радіозавод,Kyiv Radio Plant,Background,industrial,landuse=industrial,,50.43048156,30.67068364,
"Котельня ""Виноградар""","Boiler room ""Vinogradar""",Background,industrial,landuse=industrial,,50.50920326,30.42590952,
"Завод ""Квант""","""Kvant"" Factory",Background,industrial,landuse=industrial,,50.39451895,30.48149559,
Цех №2 компанії «УкрВторЧерМет»,"Workshop No. 2 of the company ""UkrVtorCherMet""",Background,industrial,landuse=industrial,,50.47998014,30.49936607,
ГРП № 6 Київгаз,Hydraulic pump No. 6 Kyivgaz,Background,industrial,landuse=industrial,,50.48581018,30.5083031,
Структурний відокремлений підрозділ «Автотранспорт» ПАТ «Київенерго»,"Structural separate division ""Autotransport"" of PJSC ""Kyivenergo""",Background,industrial,landuse=industrial,,50.48591512,30.50234404,
"Завод ""Маяк""",Mayak Plant,Background,industrial,landuse=industrial,,50.48771394,30.48993894,
СК Джонсон,SC Johnson,Background,industrial,landuse=industrial,,50.49390143,30.49051667,
КП «Автодорсервіс»,"KP ""Avtodorservice""",Background,industrial,landuse=industrial,,50.4936077,30.48501072,
КО «Київмедспецтранс»,Kyivmedspetstrans CO,Background,industrial,landuse=industrial,,50.4948134,30.48648274,
Київський Експериментальний Завод «Динамо»,"Kyiv Experimental Plant ""Dynamo""",Background,industrial,landuse=industrial,,50.48830981,30.50025162,
"Територія ближнього маркерного маяка аеропорту ""Жуляни"" (Київ)",The territory of the nearby marker beacon of the Zhulyany airport (Kyiv),Background,industrial,landuse=industrial,,50.40278167,30.47504604,
Подільське трамвайне депо,Podilsk tram depot,Background,industrial,landuse=industrial,Київпастранс,50.48644535,30.47546097,
"Трикотажна фабрика ""Киянка""","Knitting factory ""Kiyanka""",Background,industrial,landuse=industrial,,50.39418437,30.48853776,
Deps,Deps,Background,industrial,landuse=industrial,,50.39695841,30.49877898,
Київський ювелірний завод,Kyiv Jewelry Factory,Background,industrial,landuse=industrial,,50.39894684,30.49261668,
"Київська виробнича компанія ""Рапід""","Kyiv production company ""Rapid""",Background,industrial,landuse=industrial,,50.43210645,30.68100041,
КП ШЕУ Святошинського району,KP SHEU of Sviatoshynskyi district,Background,industrial,landuse=industrial,,50.44333497,30.36089735,
Гюнсел,Gunsel,Background,warehouse,building=warehouse,,50.3970595,30.49749235,
